section,book,chapter,verse,hebrew
Torah,Genesis,1,1,בראשית ברא אלהים את השמים ואת הארץ
Torah,Genesis,1,2,והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
Torah,Genesis,1,3,ויאמר אלהים יהי אור ויהי אור
Torah,Genesis,1,4,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
Torah,Genesis,1,5,ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
Torah,Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
Torah,Genesis,1,7,ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
Torah,Genesis,1,8,ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
Torah,Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
Torah,Genesis,1,10,ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
Torah,Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
Torah,Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
Torah,Genesis,1,13,ויהי ערב ויהי בקר יום שלישי
Torah,Genesis,1,14,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
Torah,Genesis,1,15,והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
Torah,Genesis,1,16,ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
Torah,Genesis,1,17,ויתן אתם אלהים ברקיע השמים להאיר על הארץ
Torah,Genesis,1,18,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
Torah,Genesis,1,19,ויהי ערב ויהי בקר יום רביעי
Torah,Genesis,1,20,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
Torah,Genesis,1,21,ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
Torah,Genesis,1,22,ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
Torah,Genesis,1,23,ויהי ערב ויהי בקר יום חמישי
Torah,Genesis,1,24,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
Torah,Genesis,1,25,ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
Torah,Genesis,1,26,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
Torah,Genesis,1,27,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
Torah,Genesis,1,28,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
Torah,Genesis,1,29,ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
Torah,Genesis,1,30,ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
Torah,Genesis,1,31,וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי
Torah,Genesis,2,1,ויכלו השמים והארץ וכל צבאם
Torah,Genesis,2,2,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
Torah,Genesis,2,3,ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות
Torah,Genesis,2,4,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים
Torah,Genesis,2,5,וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
Torah,Genesis,2,6,ואד יעלה מן הארץ והשקה את כל פני האדמה
Torah,Genesis,2,7,וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
Torah,Genesis,2,8,ויטע יהוה אלהים גן בעדן מקדם וישם שם את האדם אשר יצר
Torah,Genesis,2,9,ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע
Torah,Genesis,2,10,ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים
Torah,Genesis,2,11,שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב
Torah,Genesis,2,12,וזהב הארץ ההוא טוב שם הבדלח ואבן השהם
Torah,Genesis,2,13,ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש
Torah,Genesis,2,14,ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת
Torah,Genesis,2,15,ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה
Torah,Genesis,2,16,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל
Torah,Genesis,2,17,ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות
Torah,Genesis,2,18,ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו
Torah,Genesis,2,19,ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
Torah,Genesis,2,20,ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו
Torah,Genesis,2,21,ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה
Torah,Genesis,2,22,ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם
Torah,Genesis,2,23,ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת
Torah,Genesis,2,24,על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
Torah,Genesis,2,25,ויהיו שניהם ערומים האדם ואשתו ולא יתבששו
